,index,age,gender,job_cat,housing,savings,checking,loan_amount,duration,purpose,risk,customer_loyalty
0,0,67,male,2,own,,low,1169.0,6,radio/TV,good,0.9657855676260368
1,1,22,female,2,own,low,moderate,5951.0,48,radio/TV,bad,0.32021930322361186
2,2,49,male,1,own,low,,2096.0,12,education,good,0.7128058147201267
3,3,45,male,2,free,low,low,7882.0,42,furniture/equipment,good,0.6473691317309582
4,4,53,male,2,free,low,low,4870.0,24,car,bad,0.7860855329508459
5,5,35,male,1,free,,,9055.0,36,education,good,0.47097129551579314
6,6,53,male,2,own,very_high,,2835.0,24,furniture/equipment,good,0.7253512481678673
7,7,35,male,3,rent,low,moderate,6948.0,36,car,good,0.5397310633217364
8,8,61,male,1,own,high,,3059.0,12,radio/TV,good,0.9079843061964019
9,9,28,male,3,own,low,moderate,5234.0,30,car,bad,0.4653729382826293
10,10,25,female,2,rent,low,moderate,1295.0,12,car,bad,0.4299132653071565
11,11,24,female,2,rent,low,low,4308.0,48,business,bad,0.371536268212831
12,12,22,female,2,own,low,moderate,1567.0,12,radio/TV,good,0.38998569019364093
13,13,60,male,1,own,low,low,1199.0,24,car,bad,0.891527290800483
14,14,28,female,2,rent,low,low,1403.0,15,car,good,0.4286136160257573
15,15,32,female,1,own,moderate,low,1282.0,24,radio/TV,bad,0.4736548483021192
16,16,53,unknown,2,own,,,2424.0,24,radio/TV,good,0.7422710494517532
17,17,25,male,2,own,,low,8072.0,30,business,good,0.4018788626002775
18,18,44,female,3,free,low,moderate,12579.0,24,car,bad,0.6024930505141102
19,19,31,male,2,own,very_high,,3430.0,24,radio/TV,good,0.4398789305678563
20,20,48,male,2,own,low,,2134.0,9,car,good,0.6782694766284273
21,21,44,male,2,rent,very_high,low,2647.0,6,radio/TV,good,0.6210793428966567
22,22,48,male,1,rent,low,low,2241.0,10,car,good,0.642150917551729
23,23,44,male,2,own,moderate,moderate,1804.0,12,car,good,0.607822612167321
24,24,26,male,2,own,,,2069.0,10,furniture/equipment,good,0.3858285392362535
25,25,36,male,1,own,low,low,1374.0,6,furniture/equipment,good,0.5214904350634346
26,26,39,male,1,own,low,,426.0,6,radio/TV,good,0.5690010094306817
27,27,42,female,2,rent,high,high,409.0,12,radio/TV,good,0.5966230626462597
28,28,34,male,2,own,low,moderate,2415.0,7,radio/TV,good,0.5044942613357001
29,29,63,male,2,own,low,low,6836.0,60,business,bad,0.9285115829680468
30,30,36,male,2,own,high,moderate,1913.0,18,business,good,0.5205938299089332
31,31,27,male,2,own,low,low,4020.0,24,furniture/equipment,good,0.4520690714944742
32,32,30,male,2,own,moderate,moderate,5866.0,18,car,good,0.4613669430793821
33,33,57,male,1,rent,,,1264.0,12,business,good,0.8395186587428933
34,34,33,female,3,own,low,high,1474.0,12,furniture/equipment,good,0.4511266764616649
35,35,25,male,1,own,low,moderate,4746.0,45,radio/TV,bad,0.40201158955009014
36,36,31,male,2,free,low,,6110.0,48,education,good,0.5015249549597155
37,37,37,male,2,own,low,high,2100.0,18,radio/TV,bad,0.5175108113607305
38,38,37,male,2,own,low,high,1225.0,10,domestic appliances,good,0.5089862314458344
39,39,24,male,2,own,low,moderate,458.0,9,radio/TV,good,0.3354721728290051
40,40,30,male,3,own,very_high,,2333.0,30,radio/TV,good,0.48963824875771844
41,41,26,male,2,own,very_high,moderate,1158.0,12,radio/TV,good,0.36412808824783655
42,42,44,male,1,own,low,moderate,6204.0,18,repairs,good,0.6160341941133916
43,43,24,male,2,rent,moderate,low,6187.0,30,car,good,0.32097150067216595
44,44,58,female,1,free,low,low,6143.0,48,car,bad,0.8550993768943779
45,45,35,female,3,own,low,,1393.0,11,car,good,0.5249539051236716
46,46,39,male,2,own,very_high,,2299.0,36,radio/TV,good,0.6142974757044442
47,47,23,female,0,rent,very_high,low,1352.0,6,car,good,0.3800280617381414
48,48,39,male,1,own,low,,7228.0,11,car,good,0.5794796412539335
49,49,28,female,2,own,moderate,,2073.0,12,radio/TV,good,0.43050783618767363
50,50,29,male,1,own,,moderate,2333.0,24,furniture/equipment,good,0.43125915607523324
51,51,30,male,3,own,low,moderate,5965.0,27,car,good,0.4794180533624448
52,52,25,male,2,own,low,,1262.0,12,radio/TV,good,0.36207511296434
53,53,31,male,2,own,,,3378.0,18,car,good,0.5067626195680567
54,54,57,male,2,free,low,moderate,2225.0,36,car,bad,0.8451166301957342
55,55,26,male,1,own,,,783.0,6,car,good,0.3602893604568775
56,56,52,male,3,own,,moderate,6468.0,12,radio/TV,bad,0.7702975091825482
57,57,31,female,2,own,low,,9566.0,36,radio/TV,good,0.4873558183640083
58,58,23,female,3,own,low,high,1961.0,18,car,good,0.3641049226201393
59,59,23,female,1,rent,low,low,6229.0,36,furniture/equipment,bad,0.33805561018871166
60,60,27,male,2,own,low,moderate,1391.0,9,business,good,0.42427078546244723
61,61,50,male,2,own,,moderate,1537.0,15,radio/TV,good,0.6768047422387365
62,62,61,male,3,free,low,moderate,1953.0,36,business,bad,0.8265410424384065
63,63,25,male,2,own,low,moderate,14421.0,48,business,bad,0.42503517510869987
64,64,26,female,2,own,low,,3181.0,24,radio/TV,good,0.37992275368508627
65,65,48,male,2,own,,,5190.0,27,repairs,good,0.6768685468859886
66,66,29,female,2,own,low,,2171.0,12,radio/TV,good,0.43123196607511166
67,67,22,male,2,own,high,moderate,1007.0,12,car,good,0.3274216789826773
68,68,37,male,2,free,low,,1819.0,36,education,bad,0.5631819568660175
69,69,25,female,2,own,,,2394.0,36,radio/TV,good,0.3576256762339544
70,70,30,female,2,own,low,,8133.0,36,car,good,0.4463000563004805
71,71,46,male,1,rent,,,730.0,7,radio/TV,good,0.7002453544761102
72,72,51,male,3,free,low,low,1164.0,8,vacation/others,good,0.7605437588207283
73,73,41,female,1,own,low,moderate,5954.0,42,business,good,0.6008871519055299
74,74,40,male,3,own,,low,1977.0,36,education,bad,0.5942419220849722
75,75,66,unknown,3,free,low,low,1526.0,12,car,good,0.9684266816116768
76,76,34,male,2,own,low,low,3965.0,42,radio/TV,bad,0.46865779345176223
77,77,51,male,2,own,low,moderate,4771.0,11,radio/TV,good,0.743025700086186
78,78,39,male,1,own,,,9436.0,54,car,good,0.532718557700182
79,79,22,male,2,own,low,moderate,3832.0,30,furniture/equipment,good,0.30918641808979136
80,80,44,female,2,own,,,5943.0,24,radio/TV,bad,0.5896426830354325
81,81,47,male,2,own,very_high,,,15,radio/TV,good,0.698210977773223
82,82,24,female,1,rent,moderate,,1568.0,18,business,good,0.3630605213643759
83,83,58,female,1,own,low,low,1755.0,24,vacation/others,good,0.8064818211482033
84,84,52,male,1,own,low,low,2315.0,10,radio/TV,good,0.7796833083025683
85,85,29,female,3,own,low,,1412.0,12,business,good,0.4202921749343229
86,86,27,female,2,own,low,moderate,1295.0,18,furniture/equipment,good,0.4021793644146554
87,87,47,male,2,free,moderate,moderate,12612.0,36,education,bad,0.659491235020742
88,88,30,male,3,own,moderate,low,2249.0,18,car,good,0.44255624357964685
89,89,28,male,2,own,low,low,1108.0,12,repairs,bad,0.4409590788254745
90,90,56,male,2,own,low,,618.0,12,radio/TV,good,0.809723999265896
91,91,54,male,2,own,low,low,1409.0,12,car,good,0.7900839226490027
92,92,33,female,1,own,,,797.0,12,radio/TV,bad,0.46635412853168884
93,93,20,male,2,rent,,high,3617.0,24,furniture/equipment,good,0.33144827113850683
94,94,54,male,2,own,high,moderate,1318.0,12,car,good,0.7703723373612867
95,95,58,male,2,rent,low,moderate,15945.0,54,business,bad,0.8444249297544041
96,96,61,female,2,own,,,2012.0,12,education,good,0.8201085070514966
97,97,34,male,2,own,moderate,moderate,2622.0,18,business,good,0.47876512853383896
98,98,36,male,2,own,low,moderate,2337.0,36,radio/TV,good,0.5088163185191221
99,99,36,male,3,rent,,moderate,7057.0,20,car,good,0.5103741142332783
100,100,41,male,1,rent,moderate,,1469.0,24,car,good,0.5536878826303437
101,101,24,male,2,rent,low,moderate,2323.0,36,radio/TV,good,0.3948343590940465
102,102,24,female,2,own,low,,932.0,6,radio/TV,good,0.3943038623660296
103,103,35,male,2,rent,low,moderate,1919.0,9,furniture/equipment,good,0.5292257124497983
104,104,26,male,2,rent,,,2445.0,12,car,good,0.4302954657134961
105,105,39,male,3,own,low,moderate,,24,vacation/others,bad,0.5256796801273546
106,106,39,male,3,own,low,,6458.0,18,car,bad,0.6163174397540206
107,107,32,male,2,own,low,moderate,6078.0,12,car,good,0.488093453774716
108,108,30,female,2,own,,low,7721.0,24,furniture/equipment,good,0.4560332264135827
109,109,35,male,2,own,very_high,moderate,1410.0,14,business,good,0.5075799693688421
110,110,31,male,2,own,moderate,moderate,,6,business,good,0.42921722300353937
111,111,23,female,2,rent,low,high,392.0,15,education,good,0.35803398581132156
112,112,28,male,1,rent,low,moderate,6260.0,18,car,good,0.3846624895173509
113,113,25,female,2,own,low,,,36,car,bad,0.3928950286015228
114,114,35,male,2,own,very_high,low,1680.0,12,radio/TV,good,0.47728144382162735
115,115,47,male,2,own,,,3578.0,48,radio/TV,good,0.7254295058054534
116,116,30,female,3,own,,low,7174.0,42,radio/TV,bad,0.49653968009171534
117,117,27,female,2,rent,,low,2132.0,10,furniture/equipment,good,0.4150970586840219
118,118,23,female,2,own,very_high,low,4281.0,33,furniture/equipment,bad,0.36470389151241356
119,119,36,male,3,own,very_high,moderate,2366.0,12,car,good,0.5047662442179475
120,120,25,female,2,own,low,low,1835.0,21,radio/TV,bad,0.3395308412599472
121,121,41,female,3,rent,low,,3868.0,24,car,good,0.5819094293307964
122,122,24,male,1,rent,low,,,12,furniture/equipment,good,0.325171554765156
123,123,63,male,2,free,low,high,781.0,10,car,good,0.9178058931782856
124,124,27,female,2,rent,,moderate,1924.0,18,furniture/equipment,bad,0.4342275046684964
125,125,30,unknown,2,own,low,low,2121.0,12,car,good,0.43421295556148176
126,126,40,male,1,own,low,low,701.0,12,radio/TV,good,0.5804415643088534
127,127,30,male,2,own,low,moderate,639.0,12,repairs,bad,0.4667991716553649
128,128,34,male,3,own,low,moderate,1860.0,12,car,good,0.5191076985081815
129,129,29,female,2,own,low,low,3499.0,12,car,bad,0.42031831788631163
130,130,24,female,2,own,,moderate,8487.0,48,car,good,0.32188461033851684
131,131,29,male,2,own,low,low,6887.0,36,education,bad,0.4411047508156023
132,132,27,male,1,own,low,,2708.0,15,furniture/equipment,good,0.4038375862568364
133,133,47,male,2,free,low,,1984.0,18,furniture/equipment,good,0.6950391974395308
134,134,21,female,2,own,moderate,,10144.0,60,radio/TV,good,0.32356984915801107
135,135,38,female,2,own,,,1240.0,12,radio/TV,good,0.5383934656169828
136,136,27,male,2,own,high,,8613.0,27,car,good,0.39709850927588586
137,137,66,male,1,own,very_high,moderate,766.0,12,radio/TV,bad,0.9514291070868245
138,138,35,male,2,own,,moderate,2728.0,15,radio/TV,good,0.47384164958928127
139,139,44,female,1,rent,low,high,1881.0,12,radio/TV,good,0.6194874940067412
